video_id,comment,comment_date
XSOgcpRbrCo,Download Star Trek Fleet Command on iOS & Android and battle in the Star Trek universe here: https://pixly.go2cloud.org/SH3Mc,2022-09-09T03:30:33Z
XSOgcpRbrCo,Singapore is rich but the next door? Oh man lemme tell you it’s people are rich af,2023-08-03T09:02:21Z
XSOgcpRbrCo,rich country water n  food supply all from malaysia ???,2023-08-03T05:51:19Z
XSOgcpRbrCo,I don't think of Malaysia as a poor country,2023-08-03T04:39:01Z
XSOgcpRbrCo,"""Public canings for chewing gum"" - get your facts right.",2023-07-31T02:40:35Z
XSOgcpRbrCo,So sad for Malaysia...,2023-07-30T02:47:44Z
XSOgcpRbrCo,They are not  corrupt and have strong political will compared to other countries in asean like Philippines,2023-07-29T11:00:47Z
XSOgcpRbrCo,"Singapore is the very first example of a startup becoming a unicorn. 

Took loads of risks, but small enough to overcome bureaucracy to move faster than larger countries.",2023-07-28T15:58:02Z
XSOgcpRbrCo,"incredible things can happen when a person in power for so long is resourceful and has the nation's best interests at heart, it's a shame this is so rare as dictatorship (and all forms of lifetime rulership, including american capitalist billionaires) as a concept has so few controls for putting such a person in power, more often its the ones with the worst interests and no moral compass to hold them back who have the power to fight their way to the top",2023-07-27T03:16:30Z
XSOgcpRbrCo,I just realized today that singapore was rich how tf did I not hear about that at all in my entire life why does nobody talk about singapore,2023-07-27T02:55:44Z
XSOgcpRbrCo,5:50 1967? 1867 surely. This is a huge mistake,2023-07-27T02:46:29Z
XSOgcpRbrCo,"because chinese in singapore knows how to run the country...while malays in malaysia damm lazy and everthing expected from goverment to spoon feed them,and doesnt know how to run the country despite having oil...and other natural resources...thats the cold fact.....",2023-07-24T15:41:48Z
XSOgcpRbrCo,Shy… don’t ask,2023-07-20T23:13:50Z
XSOgcpRbrCo,what was Malaysia thinking? One look at the map and you can tell the importance of Singapore. This is one of the worst decision ever made in history.,2023-07-20T11:11:36Z
XSOgcpRbrCo, malaysia poor ,2023-07-20T07:17:16Z
XSOgcpRbrCo,BIG W,2023-07-19T19:47:15Z
XSOgcpRbrCo,"The City of Rome with 2-Party Democratic Republic outdid and outdone Singapore any day. So we have a Rich Friendly Tyrant of Singapore/Syracus in an Asian Sicily.  Singapore painted a story of ""Trading Freedom for Money"", yet Republican Rome ""Trade Money for Freedom"" and grow to greatness. What if the real narrative was ""What if Singapore failed to become the Asian Rome?"". What if Singapore still does have the chance to become an Asian Rome if it embraces Freedom and The Polybus The Greek observations of the Massive Republic in the City of Rome?  Not sure.  Any City or Civilization that trade Money for Freedoms tends to fail, since ""Money"" and ""Riches"" is subjective, while Freedom is based in Principles and Higher Goals.  I mean, the value of Gold changes if these is an oversupply of gold. What is the value of ""Freedom of Speech""? What is the value of a successful 2-Party Democratic Republic Global Superpower? Compare that to little bars of gold? : )",2023-07-18T22:37:06Z
XSOgcpRbrCo,That videogame ad made me lose every bit of confidence I had in this video 😅,2023-07-18T16:21:21Z
XSOgcpRbrCo,"Spore become great bcos you have strong & capable leader. To some he maybe authoritarian but looking back without being  strong willed , Spore maybe stll poor & slump till today. I always believe biggest problem for any developing country is CORRUPTION & Malaysia had not reach that level partly due to massive corruption .",2023-07-17T01:04:04Z
XSOgcpRbrCo,"Thanks for share the video. It is really interesting the fact that aparently in Asia at least, authoritarian regimes worked and improved dramatically their economies in few decades, especially in Taiwan, South Korea and Singapur . Sadly, in most of Africa and central Asia, the lack of democracy didnt mean significant progress, on the contrary rampant corruption and violence, especially in Africa and Central America.",2023-07-16T22:54:55Z
XSOgcpRbrCo,"As a Malaysian, don't call our country poor , even Singapore people come to our country just to buy our gas cause they can't even afford their own gas ... people there are struggling...",2023-07-16T18:09:02Z
XSOgcpRbrCo,Singapore is of the most stressful country. It is recorded 1 of the highest suicidal case in the world,2023-07-16T14:50:05Z
XSOgcpRbrCo,Please don't label Malaysia as poor when comparing to Singapore. Malaysia is expected to join the class of countries ranked as the high-income nation in a few years and the third higher income nations in Southeast Asia.,2023-07-16T12:19:37Z
XSOgcpRbrCo,The pictures are inaccurate and clumsy errors appear through the video. For example the founder of Singapore is Sir Stamford Raffles and not Thomas Raffles. Can't bear to watch the whole video.,2023-07-16T11:45:45Z
