video_id,comment,comment_date
xJlgtV8L7Jc,For more on this: https://sc.mp/gjys,2023-07-26T04:11:40Z
xJlgtV8L7Jc,"Yes,  punish the criminals , not the innocent people",2023-08-03T03:52:04Z
xJlgtV8L7Jc,"Flor Contemplacion had been there. Filipinos know it, and a movie had been made out of her experience.",2023-08-02T15:10:36Z
xJlgtV8L7Jc,Bravo Singapore.,2023-08-01T17:07:10Z
xJlgtV8L7Jc,Don't mind these westoids. I'm half Indonesian-Malaysian and I applaud Singapore's effort for combating drug trafficking,2023-08-01T08:46:42Z
xJlgtV8L7Jc,"No wonder Singapore has the most powerful passport, toppling Japan this year.

They don't fck around with their laws.",2023-08-01T07:57:54Z
xJlgtV8L7Jc,What a BARBARIC state,2023-08-01T03:29:26Z
xJlgtV8L7Jc,What you dont understand is that these are not drug dealer but they were force to do this because they or a family member probably owe money to gangsters...but since they were caught and so the Singapore government is actually doing the gangsters bidding by killing them for getting caught.,2023-08-01T00:52:59Z
xJlgtV8L7Jc,HANGED.,2023-07-31T18:09:42Z
xJlgtV8L7Jc,I'm thankful to our government for taking a tough stance against drug offences. Thanking for keeping our country safe.,2023-07-31T07:27:45Z
xJlgtV8L7Jc,But what if someone was tricked/forced into smuggling drugs,2023-07-31T00:38:29Z
xJlgtV8L7Jc,Meanwhile the liberals in the USA are working hard to legalize narcotics and crimes.,2023-07-30T19:07:22Z
xJlgtV8L7Jc,Do not lax the laws. People need to look at the US. It is in chaos.,2023-07-30T08:25:53Z
xJlgtV8L7Jc,Wonder why Singapore keeps killing people left and right when the death penalty is apparently such a great deterrent to crime? 🤔🤔🤔🤔,2023-07-30T07:57:10Z
xJlgtV8L7Jc,Please help me understand: why are the people of Singapore holding up protest signs in English? Who exactly are they protesting in a foreign language? They must either be protesting English-speaking based companies or this is a setup for the cameras.,2023-07-30T05:27:22Z
xJlgtV8L7Jc,The USA should follow this and be strict about their laws.,2023-07-30T05:24:41Z
xJlgtV8L7Jc,Well done well done. This is what's needed in America where people openly use drugs and cities are like zombie town. 1 drug dealer = tens of thousands destroyed families,2023-07-30T04:34:29Z
xJlgtV8L7Jc,"Sympathy drug traffickers just showing how naive some people are, they took away thousands of lives, do they care?",2023-07-30T03:26:48Z
xJlgtV8L7Jc,A bit to the extreme. Hanging a person for one ounce. I don't do drugs and never plan to for the rest of my life. But this is really extreme. Remind me never to move to Singapore 😮😓,2023-07-30T02:03:20Z
xJlgtV8L7Jc,"Much respect to Singapore for protecting its citizens from one of the biggest scourges of our times. If the penalty is too draconian for you, it's really simple: Go peddle drugs in someone else's country!",2023-07-29T21:35:01Z
xJlgtV8L7Jc,We need to do this in south america,2023-07-29T20:00:42Z
xJlgtV8L7Jc,W singapore,2023-07-29T18:24:27Z
xJlgtV8L7Jc,"People defending drug traffickers and this system are not thinking about the lives those traffickers have, and would have ruined. What justice do you have for the lives lost and families destroyed by these criminals? They made choices to destroy and ruin lives of other people for self gain, yet we must pity them when their lives are taken from them based on their selfish actions? Does putting them to jail for several years bring back the lives they have taken themselves?
Society sometimes can be illogical. Refusal to accept consequences for vile actions of an individual is a flaw of the irrational.",2023-07-29T15:40:16Z
xJlgtV8L7Jc,The beat is insane,2023-07-29T14:53:38Z
xJlgtV8L7Jc,I'm sorry what? Death by hanging for a drug related offense? Dafuq? o.O,2023-07-29T14:37:39Z
xJlgtV8L7Jc,A great solution is to send the human rights groups to drug capital. Just a short 1 week trip should be enough.,2023-07-29T11:14:32Z
xJlgtV8L7Jc,"A Chinese national was murdered by a robber in Singapore. The robber was sentenced to death and rights group appealed for giving him a second chance? Was that Chinese laborer given a second chance? Is his family given a second chance? Like most migrant workers, he took a huge loan to pay the agent, left his family behind and came to Singapore to take up job Singaporeans shunned. Please don't say nobody forced him to come. Should your boss appreciate your contribution or what he thinks of you is your working for him is because of money; nobody forces you to work for him?",2023-07-29T10:02:58Z
xJlgtV8L7Jc,"Hanging people is extremely cruel and barbaric, this should never be done to another human.",2023-07-29T09:04:03Z
xJlgtV8L7Jc,Womens rights,2023-07-29T05:36:18Z
xJlgtV8L7Jc,In Singapore most of the crime does by Indians the British brought them here as laborers but the new generation no changed I mean Their convict genes are still active.,2023-07-29T03:39:14Z
xJlgtV8L7Jc,❤ Singapore,2023-07-29T03:11:56Z
xJlgtV8L7Jc,The drug trafficers alone are murderers,2023-07-29T03:09:02Z
xJlgtV8L7Jc,No sympathy whatsoever.,2023-07-29T02:48:16Z
xJlgtV8L7Jc,The Philippines should bring back it's capital punishment in order to enforce it's drug war effectively.,2023-07-29T02:15:23Z
xJlgtV8L7Jc,"If this was in the U.S and they had alot of honest government authorities, alot of white police officers and politicians would be executed for all the drugs they've brought into our Latino and black communities.",2023-07-29T00:42:43Z
xJlgtV8L7Jc,80% of the USA population would disappear with these drug laws in place 😳,2023-07-29T00:11:58Z
xJlgtV8L7Jc,Thank goodness some countries still punish criminals 👏🏻,2023-07-28T22:39:36Z
xJlgtV8L7Jc,Now if only we can do the same for human traffickers.,2023-07-28T21:54:09Z
xJlgtV8L7Jc,Why don't they do this in the United States??,2023-07-28T19:19:44Z
xJlgtV8L7Jc,That’s why Singapore is so ahead . They are extremely strict with their law and order.,2023-07-28T19:03:49Z
xJlgtV8L7Jc,please put the wonderful execution video on youtube to deter others and so we can be entertained.,2023-07-28T18:19:15Z
xJlgtV8L7Jc,suppose u book a hotel as a tourist and the drugs are hidden in the room and u are not aware of it and they found out. What u think is going to happen to u?,2023-07-28T17:33:55Z
xJlgtV8L7Jc,Sad that they remain so uncivilized.,2023-07-28T17:24:23Z
xJlgtV8L7Jc,"It amazes me how many of you would rather see people who use drugs die rather than help them.  This world literally has ""no love for your neighbor""",2023-07-28T17:19:20Z
xJlgtV8L7Jc,Seems like it was never an issue until a girl was executed.,2023-07-28T17:05:36Z
xJlgtV8L7Jc,"Those human rights who said executions doesnt work, go live in chicago, oakland, LA drug infested cities for a year....
I think US execute more ppl tham singapore per year...",2023-07-28T17:00:35Z
xJlgtV8L7Jc,Then suppose you are under duress  and couldn't avoid happening it in ur possession and then they caught you .Do you think they are going to believe you were threatened? The death penalty should not be a mandatory sentence. They are evil government,2023-07-28T16:52:45Z
xJlgtV8L7Jc,I love singapore,2023-07-28T16:44:16Z
xJlgtV8L7Jc,"Image the same law is adopted in the US, it would be a better place.",2023-07-28T14:26:32Z
xJlgtV8L7Jc,"This the the best decision ever. Nip off the bud while it's still young . Otherwise it will destroy the whole society and things will be out of hands . When drugs enters it damages humans mind , breaks home , Children become out of control .",2023-07-28T13:24:16Z
xJlgtV8L7Jc,The death penalty is a great deterrent to crime.,2023-07-28T12:59:28Z
xJlgtV8L7Jc,"I have no sympathy for drug traffickers because they chose to disregard Singapore law. Is it sad for the family? No, not even one respect should be given. The law is the law. You have a lot of choices, however you dig this grave for yourself.",2023-07-28T12:34:52Z
xJlgtV8L7Jc,Its not ok to deal drugs.  But its ok to execute people ...  Makes total sense.,2023-07-28T10:20:18Z
xJlgtV8L7Jc,"Force labor camps are a better punishment for basically anything, but still getting these disgusting creatures out of the world is still nice.",2023-07-28T10:19:44Z
xJlgtV8L7Jc,"Well done Singapore! Capital punishment should apply to those drug addicts and drug traffickers, this’s the only way to combat drug problems.",2023-07-28T10:09:19Z
xJlgtV8L7Jc,Is killing your prisoners justice?,2023-07-28T10:02:16Z
xJlgtV8L7Jc,If you have qualms about the death penalty just search for Philadelphia Kensington St and see how drugs have created entire neighbourhoods of addicts.,2023-07-28T09:02:24Z
xJlgtV8L7Jc,"Why not introduce the death penalty for stealing a chocolate bar, that will make those evil doers think twice!",2023-07-28T07:57:23Z
xJlgtV8L7Jc,you are executing mules. why not prosecute the govt of the country where the drugs came for drug xray or detection incompetence (abetting the commission of a crime). the singapore police should trace the drug main players in their country & the country where it came. singapore should file diplomatic protest against the govt of the country where it came why they ain't exercise extraordinary diligence in detecting the drug contraband. carriers & transporters are so poor they exchange their precious lives for a small piece of singaporean bread w/o even a thin spread of singaporean butter. the penalty is too harsh for a mule. go find & look for the big drug lords.,2023-07-28T07:48:58Z
xJlgtV8L7Jc,Im Chinese wolf warrior. Im have to fight to free Taiwan from oppressive democracy !! 😠😠,2023-07-28T06:49:07Z
xJlgtV8L7Jc,"Sheer barbarism. The use of killing as a community response to any individual action is hideous and, thankfully, is outlawed in most countries. It's long past time for Singapore to join the 21st century.",2023-07-28T06:23:40Z
xJlgtV8L7Jc,"Human Rights defending drug traffickers should look at Los Angeles and San Francisco.Drug addicts,crime and homeless rampant and out of control.",2023-07-28T06:19:05Z
xJlgtV8L7Jc,We need this in America it's cheaper than sending them to prison for 20 yrs. to save money also & preventing overcrowded place,2023-07-28T05:57:27Z
xJlgtV8L7Jc,I cannot find anywhere what saridewi djamani look like,2023-07-28T05:31:42Z
