video_id,comment,comment_date
vyfJgJBB3Vk,"This video has been in the works for so long, we've made many revisions and I've wanted to make this video for months. I hope you enjoy it, it's taken a lot of work by me and the team!",2022-09-14T08:46:24Z
vyfJgJBB3Vk,Is Singapore the perfect country? No. But that's only because the perfect country doesn't exist and never can.,2023-08-02T17:47:15Z
vyfJgJBB3Vk,"That seems so perfect! I wish every city was designed like Singapore. I reckon we'd all be living in tiny apartments, and very close to each other. But we would still have nature and parks nearby. And imagine what we could do with all the space that would be left!",2023-07-31T12:49:48Z
vyfJgJBB3Vk,"Cars in America are cheap because car owners are Welfare Queens, getting trillions in tax dollars spend in infrastructure, gas subsidies, parking, roads, while screwing over anyone who doesn’t have a car.",2023-07-27T20:57:19Z
vyfJgJBB3Vk,"Two major issues for LA and Sibgaporr mertro usage
1. Population density
2. The difficulties in owning a car in Singapore. This further helps in increasing the usage of the public transport, which is exceptionally well designed in itself.",2023-07-25T05:29:12Z
vyfJgJBB3Vk,"Well, if your entire country is only one city, of course you are going to make sure it is well designed.",2023-07-21T15:12:34Z
vyfJgJBB3Vk,"Because it was designed many decades after Los Amgeles which had it's origins before the automobile was invented.
These revisionist videos are hilarious.
75 years from now....""Why was Singapore designed like THIS!""",2023-07-20T14:57:02Z
vyfJgJBB3Vk,Basically cities skyline in real life,2023-07-18T14:20:07Z
vyfJgJBB3Vk,"including the bus, you can get (almost)
Anywhere except industrial areas.",2023-06-30T08:36:07Z
vyfJgJBB3Vk,Asian urban planning can NOT be better than caucasian urban  planning.  That's simply not possible.  They were living in jungle just a few decades ago.,2023-06-25T10:05:51Z
vyfJgJBB3Vk,Ok,2023-06-09T09:30:16Z
vyfJgJBB3Vk,"Private transport(private cars, etc.,) is very difficult to obtain in Singapore, that is the primary reason. Please investigate more before providing convoluted information to so many people.",2023-05-27T17:31:57Z
vyfJgJBB3Vk,"Ive seen many comparisons of Tokyo, Singapore or even Seouls metro systems with that of the west. However, there are almost no videos comparing metro systems of Chinese cities with that of other Asian countries. This is quite surprising since the top 4 longest metro system in the world are Shanghai, Beijing, Guangzhou and Shenzhen. I am currently living in Shenzhen, and I love the metro here. Can you do some comparisons between Chinese metro systems and that of other Asian countries? Thanks!",2023-05-25T00:59:28Z
vyfJgJBB3Vk,"As a Korean, I wish the British Empire colonised our contry instead of Japan, maybe then we would've had more well planned cities like they have in Singapore.",2023-05-23T02:55:07Z
vyfJgJBB3Vk,"Singapore is next level City Design. i was visited Singapore 6 Times = over 45days. Local food, transit, MRT v.v.. everything is the best except the price ==!",2023-05-16T06:44:39Z
vyfJgJBB3Vk,"LA's population (on the map that you showed) is way, way, way more than 4 million...You're only counting LA City, which as anyone who lives here knows, is only half the picture.",2023-05-10T08:16:44Z
vyfJgJBB3Vk,Capitalism!,2023-04-30T15:23:45Z
vyfJgJBB3Vk,Now lets hope that they can restore their forests.,2023-04-28T22:49:05Z
vyfJgJBB3Vk,"It's simple economics at play- Los Angeles, like many American City, is designed in a way to support transportation by means of cars, perhaps due to lobbying by automobile industry, there is this whole car culture, where having a car is considered a basic need. Meanwhile Singapore, can't afford to have so many cars per person because of the limited space, so they designed a functioning public transport system, so that no one needs to buy a car to move around the city.",2023-04-28T22:17:39Z
vyfJgJBB3Vk,There is something about east Asian countries I notice that is they have social cohesion and people for the most part are very civic-minded.  Maybe that is part of the reason they can not only build but also maintain their infrastructures so well.,2023-04-20T02:36:20Z
vyfJgJBB3Vk,No curreption,2023-04-18T15:25:17Z
vyfJgJBB3Vk,So from malaysia to singapore you just have to cross the river,2023-04-16T14:12:37Z
vyfJgJBB3Vk,I love mass rapid transit in Singapore. I can easily travel back to my house by alternating different lines.,2023-04-14T10:25:49Z
vyfJgJBB3Vk,You should do a comparison of NYC subway system vs Singapore,2023-04-13T13:38:18Z
vyfJgJBB3Vk,I live in pasir panjang,2023-04-12T11:11:48Z
vyfJgJBB3Vk,LA technically is more like 18.5 million ppl if we factor the entire metro. Which is comparing apples to oranges with Singapore's 4.5 million residents.,2023-04-10T11:51:52Z
vyfJgJBB3Vk,We use public transport cause COE price too high,2023-04-08T07:13:02Z
vyfJgJBB3Vk,"With the recent years of greater transport network expansion and their improved efficiency, plus the even higher cost of the COE, I begin to understand the direction of SG gov intention. It is not just to control car population, it is to reduce pollution as well. If one would want to contribute to the crowded roads and pollution, which SG gov doesn't encourage, just prepare to pay a huge sum for car ownership.",2023-04-08T06:39:20Z
vyfJgJBB3Vk,"As a Singaporean, I am offended that you called it the ""Chan-Gai Airport"" when it is the ""Chang-yee Airport""",2023-04-06T10:42:25Z
vyfJgJBB3Vk,Singapore is blessed with Good Governance from many Good People & keep on learning the Pros & Cons from other Countries to planned & Build better infrastructures to meet their current & future needs ... 🕯🌍🕊,2023-04-02T22:49:02Z
vyfJgJBB3Vk,"It was quite well designed because before 1970 much of thje island was undeveloped and it was a clean sheat , we will see what its like in 150 years time .",2023-04-02T12:03:38Z
vyfJgJBB3Vk,Singapore's Land Area is 740km² not 712km²,2023-04-02T08:31:06Z
vyfJgJBB3Vk,"Because it is a tiny island that can be managed,  policed, and monitored easily.  There is however a significant amount of crime that is not reported within the mainstream media, which leads me to believe that if the strict rules and penalties were not implemented, there would be just as much, if not more crime and drug problems just like any other major city... That being said, whilst these rules are being enforced, it is still a relatively safe and reasonable place to live.",2023-04-02T03:27:08Z
vyfJgJBB3Vk,"I lived there for a number of years in the 80's and was always impressed at their logical, analytic planning. They learned from the mistakes of other countries! Bravo! It may have been expensive, but I loved it. I miss it and praise it to my friends all the time.",2023-04-02T00:31:43Z
vyfJgJBB3Vk,Bad example to compare Singapore to la,2023-03-30T12:20:18Z
vyfJgJBB3Vk,Singapore's is not the best. You should see Paris Metro subway train.😜,2023-03-28T13:30:43Z
vyfJgJBB3Vk,"as a singaporean, the problem with such good public transport & other stuff in general is that we suffer while travelling 😂",2023-03-28T07:12:29Z
vyfJgJBB3Vk,Singapore like clean . American like mass😊. A lot homeless,2023-03-28T07:03:07Z
vyfJgJBB3Vk,"""Singapore is not perfect"", for the f*** sake, if Singapore was ""perfect"" you wouldn't be talking about it, it wouldn't have 5 million inhabitants, it wouldn't be considered a garden city, it wouldn't have increased its territory, it wouldn't have developed its economy, holy shit.",2023-03-27T22:45:18Z
vyfJgJBB3Vk,"Very straightforward reason... Becuz SG uses an appealing tax system to draw on the super talents for improving the city state, whereas the US scares these genius away with citizenship tax.",2023-03-26T17:56:30Z
vyfJgJBB3Vk,"As a Singaporean: yes we got good trains and COE for cars........ Wait bicycle and walking infrastructure?? You're kidding 😂. We have those yes, but they don't go to where you need to go.

Oh and we banned E-scooters. What do you think?",2023-03-26T16:05:39Z
vyfJgJBB3Vk,"Fun fact, every tree in Singapore has a “name” or tag, it is usually for the government agency to keep track of trees and their health. Nparks is the agency that usually carries out all the greens in Singapore, checking and keeping the greenery’s scattered around the land safe and protected. 

For building projects, every tree they cut is billed, every tree they move is also billed. Cutting a tree is more expensive than changing a tree location. 

Cutting a tree can cost about 5-7k depending on its size! So builders who choose to cut instead of moving the tree will pay a hefty price!",2023-03-25T18:04:25Z
vyfJgJBB3Vk,bro said cheng ai,2023-03-25T14:31:46Z
vyfJgJBB3Vk,recently i tried walking home from my current school all the way back home to realise it takes around 50 mins. but while using public transport its shortened to around 15 to 20 mins. im really grateful that there is public transport almost everywhere in singapore because it really makes our travelling so much easier.,2023-03-25T07:47:35Z
vyfJgJBB3Vk,"watching this bcos im a proud singaporean: ❌❌
watching this bcos im a disappointment: ✅✅",2023-03-24T22:05:15Z
vyfJgJBB3Vk,hold up hold up... chang-what now?,2023-03-24T22:00:45Z
vyfJgJBB3Vk,😂,2023-03-24T16:56:59Z
vyfJgJBB3Vk,"As a singaporean, i actually miss Lee Kuan Yew",2023-03-24T12:22:09Z
vyfJgJBB3Vk,The short answer is because they knew if they make one fuck-up it will cause a chain reaction and probably take at least a generation to fix.,2023-03-24T00:00:36Z
vyfJgJBB3Vk,Chang gai airport. xD Its pronounced as Cha-ang-Yi.,2023-03-23T12:18:38Z
vyfJgJBB3Vk,,2023-03-23T11:09:43Z
vyfJgJBB3Vk,"Am a Singaporean and even though we complain alot about every little thing, I (along with the majority I assume) feel really really lucky to see how Singapore has progress from a ""slum"" to one of the best countries to live in. Excited to see what the future holds, Majulah Singapura! 🇸🇬",2023-03-23T11:09:25Z
vyfJgJBB3Vk,You also gotta account for its economy for such a small country its quite a economic powerhouse and its also a trade hub,2023-03-23T07:35:23Z
vyfJgJBB3Vk,great video,2023-03-23T04:01:49Z
vyfJgJBB3Vk,“Chang-gai Airport”💀 Its pronounced “chang-yi Airport” (From a singaporean),2023-03-22T09:23:44Z
vyfJgJBB3Vk,The amount of essays people are writing in these comments 💀,2023-03-22T02:49:55Z
vyfJgJBB3Vk,"btw fyi the changi airport is pronounced as ""chang-ee"" airport",2023-03-21T11:59:30Z
vyfJgJBB3Vk,"As someone who takes the downtown line everyday to go to my school, I worship the mrt system.",2023-03-21T11:52:58Z
vyfJgJBB3Vk,why? sebab takde ahli politik malaysia la. huhu,2023-03-21T08:24:09Z
vyfJgJBB3Vk,19:20 are you telling me that people mindlessly fighting doesn't help humanity progress in any way at all?!?! /s,2023-03-21T07:21:22Z
vyfJgJBB3Vk,Changai airport 😭😭,2023-03-20T11:22:28Z
vyfJgJBB3Vk,I’m so proud of my country!!,2023-03-20T07:03:45Z
vyfJgJBB3Vk,My Australian friend had to return to Sydney after working here in Singapore for about five years. She told me she will miss not only the safety and security here but also the transport and health system!,2023-03-20T06:09:55Z
vyfJgJBB3Vk,"My goodness, this is one of the most accurate, comprehensive yet concise info videos of Singapore. Superbly done!! Perhaps just to add: S'pore was humble enuf to acknowledge that they did not have the expertise to urban plan, so they sought UN's help to better understand land use and then transportation options resulting in a first Sg Concept Plan in 1971, Sg similarly sought advice on economic matters too. One thing it decided on its own is to be the most open and least corrupt place to do business (in regards to the other less attractive places in SE-Asia at the time.",2023-03-19T19:14:21Z
vyfJgJBB3Vk,"Too bad that could never happen here in the US. We’re way too reliant on cars and people are too scared to give the government the kind of power to deter people from using vehicles like the Singapore does. People also tend to be opposed to the government spending money on big projects to help the people.

Honestly Singapore seems so great, I’m considering moving there",2023-03-19T17:44:38Z
vyfJgJBB3Vk,It's not New Water its NeWater,2023-03-19T10:26:45Z
vyfJgJBB3Vk,"Honestly we have good traffic systems because our roads aren't confusing

Theres no secret to it.",2023-03-19T05:26:18Z
vyfJgJBB3Vk,"Excellent video on Singapore and its successes. I feel so lucky to live here. It summarizes well what Singapore is about. Only thing missing is that the construction of the country is relying on foreign workers that cannot stay in the country more than few years, which is a massive difference vs. western countries.",2023-03-19T02:30:46Z
vyfJgJBB3Vk,"Whenever Westerners tell me how good their countries are, I would tell them to visit Singapore.",2023-03-18T08:31:21Z
vyfJgJBB3Vk,GREAT WORK! I love Singapore!,2023-03-18T07:43:09Z
