video_id,comment,comment_date
xi6r3hZe5Tg,Singapore is considered one of the most advanced regions in the world. What intrigues you the most about this fascinating city?,2018-11-27T01:13:35Z
xi6r3hZe5Tg,"That's all nice but I just put a high-end refrigerator directly next to my bed.  It's facing me with just enough space to fully open the doors.  All I have to do is slightly stretch my arm while laying down.  Now where is my documentary?  I've done other great things.  I have a Corvette in my living room.  And Marshall half stacks in every room in my house.  I even have fifty guitars in a huge furnished barn with my pianos, giant geodes, geological specimen, and even two nice cars on lifts in the attached garage.  It's like a museum and show worthy.  Mostly because the refrigerator thing, though.",2023-08-02T15:56:38Z
xi6r3hZe5Tg,❤❤jay hind jay bhart,2023-07-27T19:24:22Z
xi6r3hZe5Tg,Amazing documentary! Thank you,2023-07-19T15:18:53Z
xi6r3hZe5Tg,THE BOTTOM LINE IS THAT Singapore WILL COMPLITY  CHANGE THE WORLD,2023-07-17T22:12:08Z
xi6r3hZe5Tg,Dream country...,2023-07-14T13:06:26Z
xi6r3hZe5Tg,Look indian government।। this is real development,2023-07-13T07:14:56Z
xi6r3hZe5Tg,"Singapore is getting more and more 'western'. It is, compared to 10 years ago, more noisy, more dirty and more unfriendly. I once loved it, but not any more.",2023-07-13T02:29:45Z
xi6r3hZe5Tg,“ the financial sector is a critical sector for the economy of Singapore”…Really? What does the financial sector really produce? And how does it drive economic growth? It’s nothing more than a parasite feeding off real economic productivity.,2023-07-12T18:32:30Z
xi6r3hZe5Tg,wow,2023-07-09T13:27:40Z
xi6r3hZe5Tg,thanks 💌for the beatiful and meaninful documentry,2023-07-08T16:35:55Z
xi6r3hZe5Tg,👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻wasted,2023-07-08T08:29:21Z
xi6r3hZe5Tg,ก็ถือว่าเขาอยู่ที่สิงคโปร์ประกอบธุรกิจส่วนตัวที่โน่นฉันจะพยายามลบออกเท่าที่จะทำได้มันเป็นการรบกวนคนอื่นเขาแล้วมันก็ไม่เกิดประโยชน์แก่ประเทศชาติ,2023-07-07T09:58:25Z
xi6r3hZe5Tg,"Thanks you for this documentary, is very fascinating and incredible experience, greetings from Colombia",2023-07-04T16:46:05Z
xi6r3hZe5Tg,"Singapore is very efficient and decisive when making strategic decisions, e.g. it  adopted English as its tuition and working language after it was founded as English is the undoubted world language. You can see a lot of other Eastern countries wasting a lot money and energy to learn English, it succeeded training its citizens as bilinguals. It also adopted Simply Chinese characters as the China (huge population )use it. It was sad that HKer were forced to learn Mandarin and gradually lost their English heritage otherwise they may also use English as their working language.",2023-07-01T05:37:05Z
xi6r3hZe5Tg,"I would not allow any one of these people to redesign my spare bathroom, or even my shed.",2023-06-23T00:46:32Z
xi6r3hZe5Tg,Dream Country Singapore. Beautiful documentary . Thanks National Geographic to give us this type of amazing video.,2023-06-14T05:10:46Z
xi6r3hZe5Tg,"Sity สิงคโปร yes singapro
 to tone of goto thailland",2023-06-13T19:34:45Z
xi6r3hZe5Tg,"It’s a magnificent city, but I couldn’t live in a metropolis regardless of how great it is. I’ve visited many big cities throughout the United States and Mexico. I’d rather live in a small town or my own ranch within driving distance of the city. I value my privacy and peace of mind, something that you rarely have in a big city.",2023-06-12T19:24:22Z
xi6r3hZe5Tg,communist country,2023-06-11T01:19:57Z
xi6r3hZe5Tg,"drink koka-kole and do not ask questions!
You have choice!
Pepsi!",2023-06-09T03:51:20Z
xi6r3hZe5Tg,Hello Elias,2023-06-07T14:46:06Z
xi6r3hZe5Tg,sheesh 🤯🤙,2023-06-07T04:31:31Z
xi6r3hZe5Tg,"Extraordinary, very proud of Singapore's incredible innovations in so many critical fields.  Thank you for this marvelous show.",2023-06-04T14:56:49Z
xi6r3hZe5Tg,"Programming children like algorithms…

… To be well behaved programmed citizens and workers bees.

IT SOUNDS TOO GOOD TO BE “GOOD.”",2023-06-01T18:52:31Z
xi6r3hZe5Tg,Rmbusd20pumpin,2023-06-01T12:33:19Z
xi6r3hZe5Tg,The leaders need to think more about people and this world can improve alot,2023-05-31T05:14:27Z
xi6r3hZe5Tg,*.*0-#,2023-05-30T09:11:02Z
xi6r3hZe5Tg,I hope to live  in Singapore.....,2023-05-27T17:55:45Z
xi6r3hZe5Tg,"Yes, Singapore is advance in tech but is it truly a livable city? Inflation is madness, government recognizes it but thats all. Crazy importing of CECA indians is doing nothing for the country. Just look at the ranks in DBS and note of many of the last names are the same. :) Of course there are a few good ones but the rest are trash with fake degrees and still no doubt bringing the caste system into the modern world.",2023-05-27T08:39:32Z
xi6r3hZe5Tg,I am not fully comfortable to understand English but l see this vedio just see this city world famous country. l am belong to lndia,2023-05-21T05:38:25Z
xi6r3hZe5Tg,I didnt get the one asnwer for my hw which is “what are the benifets of the infrastructure and postioning they have created for housin” pls help,2023-05-19T03:01:37Z
xi6r3hZe5Tg,This Is What Happens When You Apply Economic Liberalism,2023-05-13T19:30:59Z
xi6r3hZe5Tg,"My Country Needes'e Resyncle people to generage chilldernd""t",2023-05-11T18:09:18Z
xi6r3hZe5Tg,"As a Singaporean, yes",2023-05-11T08:55:20Z
xi6r3hZe5Tg,😢,2023-05-08T02:33:58Z
xi6r3hZe5Tg,Fun fact: No one in the world can call Singapore poor because it's the most developed country in the world,2023-04-29T18:01:13Z
xi6r3hZe5Tg,"Singapore kind of development happens across globe when you don't show racism and discriminate people based on religion, caste, race and region , Singapore has Hindu Tamils, Muslims , Buddhists, Christians and ethnic Chinese 👍👍",2023-04-29T06:10:24Z
xi6r3hZe5Tg,"murdering fascists...singapore govt are
boycott these psychopaths",2023-04-26T04:24:34Z
xi6r3hZe5Tg,Very nice... 😊,2023-04-20T01:53:45Z
xi6r3hZe5Tg,As a singaporean i support the belives that this is true,2023-04-19T09:39:57Z
xi6r3hZe5Tg,"Very Smart People are in fact quite stupid and arrogant. They lack both the knowledge to properly design a society, and the humility to recognize that they have no business even attempting such a thing in the first place.",2023-04-09T20:15:12Z
xi6r3hZe5Tg,"Why do video makers think that we will be intrigued by a video that opens with a barrage of one-second shots of things we can't see, and a dramatic, ridiculous dialogue.",2023-04-05T23:01:35Z
xi6r3hZe5Tg,💚,2023-03-31T16:05:45Z
xi6r3hZe5Tg,"As a youtube user, l don't like advanced nations",2023-03-31T15:01:27Z
xi6r3hZe5Tg,I'm interested in knowing the shelf life for an Air+ mask,2023-03-28T00:02:52Z
xi6r3hZe5Tg,Isn't Singapore a country?,2023-03-27T20:27:03Z
xi6r3hZe5Tg,"10 The devil has given men other marks of beauty. And yet according to the Bible, the mark of beauty is the face. We see the case of Rebecca in Genesis 24:16, the case of Sarah, Abraham's wife in Genesis 12:11, the case of Rachel in Genesis 29:17, the case of Abigail in 1 Samuel 25: 3, The case of Tamar in 2 Samuel 14:27 ... But the devil has invented other marks: the buttocks, then the navel, then the complexion then the makeup, and so on. This is a challenge to the divine perfection: a way to say that ""God should do things in such a way"". The fate of Jezebel is reserved for you. A divine hand seized dogs to eat your great-grandmother Jezebel. And what happened with Jezebel? The dogs did not touch the skull, the feet and the palms of her hands because of the makeup and the nail polishes. My very dear Sisters, God wants to see you as He created you. Stay so! [Ed: The congregation says, ""Amen! ""].",2023-03-24T13:52:33Z
xi6r3hZe5Tg,"65 Today, Africa is in misery. God has brought Africa to its knees. And the same Mediterranean Sea in which the ancestors of those black Americans died in slave ships is in this same Mediterranean Sea in which we die in migrant ships because of this evil.",2023-03-22T17:20:59Z
xi6r3hZe5Tg,Wow!,2023-03-21T02:25:02Z
xi6r3hZe5Tg,"The will of God for your Salvation is not what you like or what you find logical or what is done around you, but what God was pleased to reveal to you through the living prophet of your time and this prophet, it is I, Kacou Philippe that speak to you.",2023-03-20T22:27:21Z
xi6r3hZe5Tg,Hurray Singapore!!,2023-03-19T03:19:34Z
xi6r3hZe5Tg,Wireless power network??? Nicolas Tesla said about this years before... Finally.. it's coming to possibility.,2023-03-18T18:07:38Z
xi6r3hZe5Tg,"Coming to Singapore for 5days isn't enough, I wanna spend more time in Marina Bay but looking forward coming soon",2023-03-08T22:41:16Z
xi6r3hZe5Tg,beautiful,2023-03-08T08:02:00Z
xi6r3hZe5Tg,"Ironically most are not talking about the gangsters, secret societies and organised crimes in the inner ghettos of Singapore. I myself have went through and seen it here currently still. As they say, every country has their own.",2023-03-07T16:21:30Z
xi6r3hZe5Tg,™️💱♾️🔛🔚🔝🔙🔜♾️💱™️,2023-03-06T20:23:20Z
xi6r3hZe5Tg,Only when you have enough water to provide for your people and not taking it from Malaysia or Indonesia..,2023-03-06T08:31:35Z
xi6r3hZe5Tg,Singapore fronting like they invented hydroponics😂,2023-03-05T14:01:22Z
xi6r3hZe5Tg,"When the goal of the government of a national is focused on elevating the quality of life of her people instead of how to control, subdue and exploit them, that nation will thrive and prosper. We lived in Singapore in the 70s of last century, I am proud of what that tiny country is doing and achieving. Good job and keep going!",2023-03-03T22:39:24Z
xi6r3hZe5Tg,"Dravidian parties destroyed the rivers and reservoirs and sold for real estate in all over Tamil Nadu especially chennai. India should learn from this video about urbanization. If required hire india should hire planners from Singapore. Phase by phase want to redevelop Mumbai, Delhi, chennai etc",2023-03-01T18:24:08Z
xi6r3hZe5Tg,I love my country.,2023-03-01T08:40:03Z
xi6r3hZe5Tg,"SkyNet not require humans, but BioSkyNet will require humans : problem solved. 🤖🤝👫🤝👽 friendship is possible 🕴🥋",2023-02-27T18:44:29Z
xi6r3hZe5Tg,Well their birthrate in 2022 is only 1.05 which is well below the replacement rate of 2.1. Urbanization and lack of living space is literally killing them off. Singapore is not a model anyone should follow.,2023-02-26T21:04:18Z
xi6r3hZe5Tg,I love turning into a “Men”,2023-02-24T01:55:12Z
xi6r3hZe5Tg,It's so sad that Singapore is considered as Flawed Democracy People's Action Party is not doing its best to improve democracy. Small country high GDP per capita but the elites neglect reforms to improve democracy.,2023-02-20T19:45:44Z
xi6r3hZe5Tg,So artificial and scary IMO,2023-02-20T16:32:04Z
xi6r3hZe5Tg,"From what I gathered this is nothing more than,  control of humanity,  to be tracked and tracked.   No thanks.   What could possible go wrong with this?",2023-02-18T01:52:18Z
xi6r3hZe5Tg,imagine 600mbps electricity download.,2023-02-17T23:53:33Z
xi6r3hZe5Tg,😉😉😃😃,2023-02-15T08:58:16Z
xi6r3hZe5Tg,Singapore is one of those cities i wanna visit in my lifetime..😊,2023-02-14T13:10:00Z
xi6r3hZe5Tg,"This is a diversion tactic paid by the Singaporean single party semi-authoritarian government to divert FACTS. Singapore is the 5th biggest polluter in the world by per capita basis, even worse than the Americans.",2023-02-04T10:00:55Z
xi6r3hZe5Tg,"*How do they deal with waste, please explain their waste management program.*",2023-02-03T13:10:13Z
xi6r3hZe5Tg,Cities skylines IRL 😅,2023-01-30T19:54:19Z
xi6r3hZe5Tg,🇮🇳🇮🇳🇮🇳🤩😍😀😘😴😁🥰🌹💝👌👏✍,2023-01-28T15:48:00Z
xi6r3hZe5Tg,sequential learning is about WHO comes first and WHO comes last...hmmm.. Well they are are communist so what can we expect.,2023-01-27T02:14:38Z
xi6r3hZe5Tg,கட்டிடங்கள் சாக்கடையில் கட்டியது மாதிரி இருக்கு கருமம் இது போன்ற நெருக்கடியான வாழ்க்கை நவீனம் என்ற பெயரில் ஒரு கொடுமை நேர்மை என்று தங்களைத் தாங்களே ஏமாற்றி ஆட்சி செய்து கொண்டு இருப்பது மனித வாழ்க்கையின் அவமானம் அது🤔😁,2023-01-26T17:37:03Z
xi6r3hZe5Tg,Amma EMI madurai S.Jain kader,2023-01-25T12:39:21Z
xi6r3hZe5Tg,Justin Bieber sathick bactick s.sameeraS.J ain kader Anna,2023-01-25T12:35:00Z
xi6r3hZe5Tg,S.Jain kader government school,2023-01-25T12:30:05Z
xi6r3hZe5Tg,Play game Jungkook s.sameera,2023-01-25T12:28:34Z
xi6r3hZe5Tg,18.08.2004bakercakesbabyboy,2023-01-25T12:27:31Z
xi6r3hZe5Tg,Thiruppuvanam puadr s.sameerajungooks,2023-01-25T12:26:39Z
xi6r3hZe5Tg,Jungkook s Sameera baby boy makeup kiss,2023-01-25T12:21:55Z
xi6r3hZe5Tg,Makeup kiss s Sameera 7tstdE,2023-01-25T12:20:17Z
xi6r3hZe5Tg,Jungkook husband s.sameerawifemohammedjinnah,2023-01-25T12:18:24Z
xi6r3hZe5Tg,5money,2023-01-25T12:16:54Z
xi6r3hZe5Tg,Mohammed Jinnah,2023-01-25T12:10:52Z
xi6r3hZe5Tg,Sathick bactick s.sameerabaseeraumala2ages,2023-01-25T12:10:39Z
xi6r3hZe5Tg,I love that we are slowly advancing at the same time fast. But The more our country become more advanced the more workers lose it’s job.,2023-01-25T06:45:00Z
xi6r3hZe5Tg,Singapore is a country that has just one only capital Republic of Singapore,2023-01-25T01:45:59Z
xi6r3hZe5Tg,"LOL, ridiculous, do they have their own house with a yard ?? craziness",2023-01-24T13:03:53Z
xi6r3hZe5Tg,"After watching this documentary about Singapore, it can be an example for several countries. I really love the way Singaporean teachers teach their children with the utilization of technology that supports learning enthusiasm, imagination, thinking, and more.",2023-01-21T10:25:26Z
xi6r3hZe5Tg,In this modern era we need to share Human Resources (intelligence) I am calling for these planners to come help Zambia 🇿🇲 in Africa ❤,2023-01-17T18:13:10Z
xi6r3hZe5Tg,"Thanks for this great documentary, showing many sides of SG I don't know. Many of my friends who had been to SG before repeated, oh, SG is small, all around the marina bay is it. I would say what deserves more time is a deeper look of the country, other than just scenery. It did a great job within just 2 generation, and in many fields, have been model to other cities/countries. I personally would love to spend several months, to see more of it.",2023-01-16T06:03:41Z
xi6r3hZe5Tg,Haha tiny place without real identity dominated by Chinese money and humidity to the extreme…come on seriously,2023-01-15T12:13:51Z
xi6r3hZe5Tg,"With such advanced technologies built in Singapore, they still use plastic glass and straws for their daily food consumption, especially at Hawker (food court)",2023-01-14T05:35:55Z
xi6r3hZe5Tg,Will the desalination affect life in the ocean?,2023-01-12T21:46:22Z
xi6r3hZe5Tg,God made Singapore to show off how great humanity could be.,2023-01-12T14:59:27Z
xi6r3hZe5Tg,挤出屎的恶心地方,2023-01-10T12:22:59Z
xi6r3hZe5Tg,Amazing ❤️,2023-01-10T11:08:46Z
xi6r3hZe5Tg,BEAUTIFUL CITYOF SINGAPORE.,2023-01-09T09:01:36Z
xi6r3hZe5Tg,"Everyone can see how competency,  integrity and honesty are the real deal for any country.  Poor leadership and bad governance are root causes of chaos in many countries",2023-01-08T12:47:49Z
xi6r3hZe5Tg,tangina when Philippines,2023-01-07T15:21:31Z
xi6r3hZe5Tg,12iekdoado,2023-01-05T14:48:16Z
xi6r3hZe5Tg,I love this beautiful country ❤️,2023-01-03T11:43:50Z
xi6r3hZe5Tg,Singapore is a next level civilization on this planet.tge whole world need to learn from this country that you can actually live better life then having armies,2023-01-03T06:11:16Z
xi6r3hZe5Tg,I'm pretty sure once you're getting ideas from cyberpunk dystopian fiction like bladerunner for your cities you should probably stop and have a think.,2023-01-03T02:28:40Z
xi6r3hZe5Tg,CNA. Explore Beyond Borders. That's A Quantum Physics Technology too that could finally produce Quantum Mechanics Technology. The AI Sparks Technology. Dated this today 2nd January 2023. ✌✌🤗🤗🤗🌈🌈🌻🌻✨⚡⚡⚡,2023-01-02T05:57:03Z
xi6r3hZe5Tg,CNA. Explore Beyond Borders. We are proud to be a true Singaporeans. Looking Back and Moving Forward. Dated this today 2nd January 2023... ✨✨✨🕊🕊🕊🤗🤗✌⚡⚡🌈🌈🌻🌻,2023-01-02T05:44:26Z
xi6r3hZe5Tg,CNA. Explore Beyond Borders. Amazing Singapore. Amazing Throwback. Dated this today 2nd January 2023. 🌈🌈⚡⚡✌✌🤗🤗🤗✨✨🕊🌻🌻🌻,2023-01-02T05:27:57Z
xi6r3hZe5Tg,CNA. Explore Beyond Borders. It's Looking Back and Moving Forward. This video was uploaded and shown 4yrs ago. Dated this today 2nd January 2023..🌈🌈⚡⚡✌🤗🤗✨✨🕊🌻,2023-01-02T05:25:22Z
xi6r3hZe5Tg,I swear Singapore will be ground zero for a whole bunch of world innovations!,2022-12-31T21:25:39Z
xi6r3hZe5Tg,Happy New Year 2023 Singapore with ❤to the World with ❤ too. 🇸🇬🇸🇬🤗🤗✌❤❤🌍🤗🤗✌❤,2022-12-31T20:53:26Z
xi6r3hZe5Tg,"Why every Singaporean speak English?
What happen to their culture?",2022-12-31T03:21:51Z
xi6r3hZe5Tg,"Farming, I noticed plant life; that means sewage management & hydroponic ' gardeners'.
What @ ocean rise & tidal waves?",2022-12-30T10:01:25Z
